"Medicare Part D Opioid Prescribing Rates from Calendar Year 2016,",,,,,,,,,,,
by ZIP Code,,,,,,,,,,,
,,,,,,,,,,,
,,,Calendar Year 2016,,,,,,,Change in Opioid Prescribing Rates 2013 to 2016,
State Name,State Abbreviation,ZIP Code,Part D Prescribers,Part D Opioid Prescribers,Opioid Claims,Extended Release Opioid Claims,Overall Claims,Opioid Prescribing Rate,Extended Release Opioid Prescribing Rate,Change in Opioid Prescribing Rate,Change in Extended Release Opioid Prescribing Rate 
Arizona,AZ,85087,7,4,530,11,"12,897",4.11,2.08,-2.29,-5.06
Arizona,AZ,85118,10,5,"1,442",74,"16,589",8.69,5.13,1.41,3.08
Arizona,AZ,85119,4,1,302,28,"5,489",5.50,9.27,5.50,9.27
Arizona,AZ,85120,44,14,"1,543",56,"51,638",2.99,3.63,-3.04,-5.01
Arizona,AZ,85122,128,80,"14,707",877,"298,637",4.92,5.96,-1.17,-0.10
Arizona,AZ,85123,1,1,"1,003",309,"5,065",19.80,30.81,,
Arizona,AZ,85128,9,5,291,13,"11,901",2.45,4.47,-0.65,1.25
Arizona,AZ,85131,4,2,559,24,"14,668",3.81,4.29,-2.23,4.29
Arizona,AZ,85132,11,4,"1,711",294,"20,437",8.37,17.18,0.46,4.45
Arizona,AZ,85137,2,2,640,46,"13,594",4.71,7.19,-1.50,1.69
Arizona,AZ,85138,16,5,718,144,"12,476",5.76,20.06,-0.62,20.06
